Categoría,Producto,Empresa,Especificaciones
FIAMBRES Y EMBUTIDOS,Salchicha con carne angus,La preferida,500g
FIAMBRES Y EMBUTIDOS,Arrollado huaso,San jorge,1.5Kg
FIAMBRES Y EMBUTIDOS,Jamón acaramelado,San jorge,3Kg
FIAMBRES Y EMBUTIDOS,Chorizo parrillero,San jorge,1Kg
FIAMBRES Y EMBUTIDOS,Jamón de pavo cocido,La preferida,3Kg
FIAMBRES Y EMBUTIDOS,Jamón sandwich,La preferida,3.5Kg
FIAMBRES Y EMBUTIDOS,Jamón centenario acaramelado mini pieza,La preferida,3Kg
FIAMBRES Y EMBUTIDOS,Longaniza,Winter,1Kg
FIAMBRES Y EMBUTIDOS,Salchicha tradicional,Winter,1Kg
FIAMBRES Y EMBUTIDOS,Jamón ahumado,Winter,5Kg
,Maní confitado,Sembrasol,100g 180g y 1000g
,Súper Mix,Sembrasol,150g 80g
,Almendra de selección,Sembrasol,50g
,Maní tostado con cáscara,Sembrasol,90g 500g
,Maní tostado sin sal y sin cáscara,Sembrasol,100g 150g 400g
,Maravillas tostadas saladas con cáscara,Sembrasol,25g 50g 85g 100g 110g 200g 300g 400g
,Nueces,Sembrasol,50g
,Pistachos tostados y salados,Sembrasol,40g
,Charqui,Sembrasol,20g 40g y 60g
,Chía,Sembrasol,1000g
,Almendra tostada y salada,Sembrasol,60g
,Maní Merkén,Sembrasol,100g 1000g
,Maní tostado con sal,Sembrasol,120g 150g 400g
,Maravillas confitadas,Sembrasol,120g
,Energy Mix,Sembrasol,150g 300g
,Semilla de zapallo,Sembrasol,1000g
,Quínoa,Sembrasol,1000g
,Mix Gourmet,Sembrasol,300g
,Mix Nuts,Sembrasol,80g 300g 700g
,Maní miel,Sembrasol,90g
,Castaña de cajú tostada y salada,Sembrasol,60g
,Fancy mix,Sembrasol,700g
LÁCTEOS,Queso gauda,Los Nogales,1 Kg
LÁCTEOS,Queso mantecoso,Los Nogales,1 Kg
LÁCTEOS,Mantequilla con sal,Los nogales,125g
LÁCTEOS,Queso gauda,Los nogales,250g
LÁCTEOS,Queso mantecoso,Los nogales,250g
PAN Y PASTAS,Molde Blanco,Zeroglut,1 unidad x 480g
PAN Y PASTAS,Molde Integral,Zeroglut,1 unidad x 480g
PAN Y PASTAS,Molde Multisemilla,Zeroglut,1 unidad x 480g
PASTELERIA Y HELADERIA,Magdalenas Vainilla,Zeroglut,6 unidades x 35g
PASTELERIA Y HELADERIA,Magdalenas Chips Chocolate,Zeroglut,6 unidades x 35g
PASTELERIA Y HELADERIA,Queque Vainilla,Zeroglut,1 unidad x 210g
PASTELERIA Y HELADERIA,Queque Chocolate,Zeroglut,1 unidad x 210g
PREMEZCLAS HARINAS Y CEREALES,Muffin keto chocolate,PyM,120g
PREMEZCLAS HARINAS Y CEREALES,Masa pizza,PyM,500g
PREMEZCLAS HARINAS Y CEREALES,Brownie de legumbres,PyM,280g
PREMEZCLAS HARINAS Y CEREALES,Avena instantánea,Agropel,25kg
PREMEZCLAS HARINAS Y CEREALES,Avena hojuela entera,Agropel,25kg
FIAMBRES Y EMBUTIDOS,Salchicha tradicional,San Jorge,1Kg
FIAMBRES Y EMBUTIDOS,Chorizo Centenario Artesanal,La Preferida,500g
FIAMBRES Y EMBUTIDOS,Jamón Pierna Artesanal,Winter,200g y 4.90Kg
FIAMBRES Y EMBUTIDOS,Jamón Pierna corte pluma,La Preferida,125g y 250g
FIAMBRES Y EMBUTIDOS,Jamon Praga ahumado mini pieza,San Jorge,4.8Kg
FIAMBRES Y EMBUTIDOS,Longaniza parrillera angus,La Preferida,250g
FIAMBRES Y EMBUTIDOS,Salame italiano,San Jorge,80g y 100g
FIAMBRES Y EMBUTIDOS,Salchicha Bronto,San Jorge,950g
FIAMBRES Y EMBUTIDOS,Jamon artesanal,San Jorge,4.2Kg
FIAMBRES Y EMBUTIDOS,Arrollado lomo con ají,San Jorge,4Kg aprox.
FIAMBRES Y EMBUTIDOS,Arrollado lomo,San Jorge,3.2 Kg aprox.
FIAMBRES Y EMBUTIDOS,Mini mortadela jamonada,San Jorge,400g
FIAMBRES Y EMBUTIDOS,Jamón colonial,San Jorge,200g
FIAMBRES Y EMBUTIDOS,Chorizo sureño,San Jorge,400g
FIAMBRES Y EMBUTIDOS,Pechuga de pavo cocida,La Preferida,2.5 Kg aprox.
FIAMBRES Y EMBUTIDOS,Pechuga de pavo ahumada,La Preferida,2.5 Kg aprox.
FIAMBRES Y EMBUTIDOS,Jamón acaramelado,Winter,200g
FIAMBRES Y EMBUTIDOS,Jamón pierna,San jorge,500g
FIAMBRES Y EMBUTIDOS,Paté sabor ternera,La preferida,160g
FIAMBRES Y EMBUTIDOS,Vienesas sin piel,La preferida,760g
FIAMBRES Y EMBUTIDOS,Pepperoni,La preferida,100g
FIAMBRES Y EMBUTIDOS,Fiambre sándwich,San jorge,3.5Kg
FIAMBRES Y EMBUTIDOS,Salchicha de pavo,San jorge,1Kg
FIAMBRES Y EMBUTIDOS,Pechuga de pollo cocida,San jorge,3Kg
,Linaza,Sembrasol,1000g
FIAMBRES Y EMBUTIDOS,Longaniza tradicional,San jorge,1Kg
FIAMBRES Y EMBUTIDOS,Jamón pierna,La preferida,6.5Kg
CÁRNICOS,Caja hamburguesa con carne angus,La preferida,10 x 100g
